id	clr	W
Bacteria;;	2.071856013040176	0
Bacteria;Acidobacteriota;Mor1	0.8076601321763064	0
Bacteria;Bacteroidota;Bacteroidia	-3.657653102410483	0
Bacteria;Desulfobacterota;GWC2-55-46	0.696088356519202	4
Bacteria;Desulfobacterota_E;MBNT15	1.0103926862303887	1
Bacteria;Firmicutes;Bacilli	-4.555513037632559	10
Bacteria;Gemmatimonadota;Gemmatimonadetes	-3.219918733733533	9
Bacteria;Margulisbacteria;WOR-1	1.7279349488750502	5
Bacteria;Methylomirabilota;Methylomirabilia	1.619001701768367	3
Bacteria;Nitrospirota;Nitrospiria	-2.960521837025949	10
Bacteria;Nitrospirota;Thermodesulfovibrionia	2.2632614636352617	0
Bacteria;Omnitrophota;Koll11	-2.307017845352067	0
Bacteria;Omnitrophota;Omnitrophia	1.8529058211095168	4
Bacteria;Patescibacteria;	1.0953422046280876	1
Bacteria;Patescibacteria;ABY1	2.1672101508207042	4
Bacteria;Patescibacteria;Gracilibacteria	2.303856818320545	4
Bacteria;Patescibacteria;Paceibacteria	2.301622177729396	5
Bacteria;Proteobacteria;Gammaproteobacteria	-3.216507918698403	4
