Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	a	a	a	a	a	b	b	b	b	b
Bacteria;Proteobacteria;Gammaproteobacteria	84.0	102.5	121.0	139.5	158.0	626.0	653.75	681.5	709.25	737.0
Bacteria;;	84.0	86.5	89.0	91.5	94.0	1.0	2.5	4.0	5.5	7.0
Bacteria;Nitrospirota;Nitrospiria	6.0	6.0	6.0	6.0	6.0	25.0	26.25	27.5	28.75	30.0
Bacteria;Firmicutes;Bacilli	1.0	1.0	1.0	1.0	1.0	22.0	22.25	22.5	22.75	23.0
Bacteria;Patescibacteria;ABY1	35.0	36.0	37.0	38.0	39.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Patescibacteria;Paceibacteria	38.0	40.25	42.5	44.75	47.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Patescibacteria;	10.0	11.5	13.0	14.5	16.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Omnitrophota;Koll11	21.0	22.0	23.0	24.0	25.0	37.0	47.75	58.5	69.25	80.0
Bacteria;Methylomirabilota;Methylomirabilia	19.0	20.25	21.5	22.75	24.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Gemmatimonadota;Gemmatimonadetes	1.0	1.0	1.0	1.0	1.0	5.0	5.5	6.0	6.5	7.0
Bacteria;Omnitrophota;Omnitrophia	26.0	26.5	27.0	27.5	28.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Margulisbacteria;WOR-1	21.0	22.5	24.0	25.5	27.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Nitrospirota;Thermodesulfovibrionia	119.0	124.0	129.0	134.0	139.0	1.0	3.25	5.5	7.75	10.0
Bacteria;Acidobacteriota;Mor1	5.0	8.25	11.5	14.75	18.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Desulfobacterota;GWC2-55-46	8.0	8.25	8.5	8.75	9.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteroidota;Bacteroidia	1.0	1.0	1.0	1.0	1.0	6.0	8.0	10.0	12.0	14.0
Bacteria;Desulfobacterota_E;MBNT15	9.0	10.5	12.0	13.5	15.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Patescibacteria;Gracilibacteria	39.0	40.75	42.5	44.25	46.0	1.0	1.0	1.0	1.0	1.0
