	W	Reject null hypothesis
a9cdace376f468b22ea7bac7de7e029c	3	False
b230be8a10f78f48e504b8dc5cfa7afb	3	False
89fa0981707da59c8cede9f5d70afe62	2	False
615d65be0a5ba4f62e9d7aa1bffb4277	2	False
266d3c050f6688d15024f3c36c9328d8	1	False
ee6a011da2550805c6fd434ab053464a	1	False
54c05a1e59ddd42bd97a0a8f522bf591	1	False
cbff13b5013921139f28a5115cf9f7a8	1	False
906a06fc904a9a11c50b0a100467961b	1	False
c4dc084b83476f4b2c829da5b52fcb4d	1	False
b39f90da9ee92988c2e0f57748c70f4c	1	False
c02e74171a45a7d8308e4581e6b79eab	1	False
e149acb95b2ccf99ebccc818ef8aac1f	0	False
b39be459cc96689db8cd6b00a0d86e8e	0	False
3ebe761bfb1238c87195d431f41bf976	0	False
fb6835364f1d79a14457f24bc50738d0	0	False
3421464bea79a54e7eef62009457230b	0	False
7346ee25c4de4df48f80d736342c1c02	0	False
8b91e5b1c412877f96a4a342ab6dc680	0	False
b7d6cf3f7467ca45087ca083796a0af0	0	False
7e7deb01f0491d33ecb87427fcbeb1ee	0	False
25e119f38effd7d58bf3442bd40eaf00	0	False
aeda648ef1ccaf013a70453eee0caf8a	0	False
38c27ceaed634984c1225a82648cf571	0	False
7da5a08a0f3713731b1ec0bdefe97783	0	False
d88abff2ed5af388abe3bd71809f70e1	0	False
1f8747026500ce37ab66b935d9b1b53e	0	False
da13eb51a23731d1542076afd2a4882d	0	False
e04265a1b5b74d599d1000ac0f280268	0	False
2bfdfef3ab9fe4d267c52f8ee5c80ddd	0	False
d69464b2275c7c4514b5858d01db39b8	0	False
fc3f584449d707e80bd4aa0efcd65508	0	False
ec03d66fcea8850ab39fe2bce3814f30	0	False
f86222ce0aa7c48d5994451baf572b60	0	False
c1cd0bc45f873697ab9156e7147e8d76	0	False
67e959ec1398cee2946858ecda5af98b	0	False
59dd6d3f3f896c4309537cf26c3597a3	0	False
02b4cbe5c2955ab2f66dc82cdf6dad64	0	False
1304d0f9dc2397bbf02e61577a2f5adc	0	False
87e503bff5c5886e5938a97aa0afb1d5	0	False
