sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-21_iter-1,depth-21_iter-2,depth-21_iter-3,depth-21_iter-4,depth-21_iter-5,depth-21_iter-6,depth-21_iter-7,depth-21_iter-8,depth-21_iter-9,depth-21_iter-10,depth-42_iter-1,depth-42_iter-2,depth-42_iter-3,depth-42_iter-4,depth-42_iter-5,depth-42_iter-6,depth-42_iter-7,depth-42_iter-8,depth-42_iter-9,depth-42_iter-10,depth-63_iter-1,depth-63_iter-2,depth-63_iter-3,depth-63_iter-4,depth-63_iter-5,depth-63_iter-6,depth-63_iter-7,depth-63_iter-8,depth-63_iter-9,depth-63_iter-10,depth-83_iter-1,depth-83_iter-2,depth-83_iter-3,depth-83_iter-4,depth-83_iter-5,depth-83_iter-6,depth-83_iter-7,depth-83_iter-8,depth-83_iter-9,depth-83_iter-10,depth-104_iter-1,depth-104_iter-2,depth-104_iter-3,depth-104_iter-4,depth-104_iter-5,depth-104_iter-6,depth-104_iter-7,depth-104_iter-8,depth-104_iter-9,depth-104_iter-10,depth-125_iter-1,depth-125_iter-2,depth-125_iter-3,depth-125_iter-4,depth-125_iter-5,depth-125_iter-6,depth-125_iter-7,depth-125_iter-8,depth-125_iter-9,depth-125_iter-10,depth-145_iter-1,depth-145_iter-2,depth-145_iter-3,depth-145_iter-4,depth-145_iter-5,depth-145_iter-6,depth-145_iter-7,depth-145_iter-8,depth-145_iter-9,depth-145_iter-10,depth-166_iter-1,depth-166_iter-2,depth-166_iter-3,depth-166_iter-4,depth-166_iter-5,depth-166_iter-6,depth-166_iter-7,depth-166_iter-8,depth-166_iter-9,depth-166_iter-10,depth-187_iter-1,depth-187_iter-2,depth-187_iter-3,depth-187_iter-4,depth-187_iter-5,depth-187_iter-6,depth-187_iter-7,depth-187_iter-8,depth-187_iter-9,depth-187_iter-10,depth-207_iter-1,depth-207_iter-2,depth-207_iter-3,depth-207_iter-4,depth-207_iter-5,depth-207_iter-6,depth-207_iter-7,depth-207_iter-8,depth-207_iter-9,depth-207_iter-10,depth-228_iter-1,depth-228_iter-2,depth-228_iter-3,depth-228_iter-4,depth-228_iter-5,depth-228_iter-6,depth-228_iter-7,depth-228_iter-8,depth-228_iter-9,depth-228_iter-10,depth-249_iter-1,depth-249_iter-2,depth-249_iter-3,depth-249_iter-4,depth-249_iter-5,depth-249_iter-6,depth-249_iter-7,depth-249_iter-8,depth-249_iter-9,depth-249_iter-10,depth-270_iter-1,depth-270_iter-2,depth-270_iter-3,depth-270_iter-4,depth-270_iter-5,depth-270_iter-6,depth-270_iter-7,depth-270_iter-8,depth-270_iter-9,depth-270_iter-10,depth-290_iter-1,depth-290_iter-2,depth-290_iter-3,depth-290_iter-4,depth-290_iter-5,depth-290_iter-6,depth-290_iter-7,depth-290_iter-8,depth-290_iter-9,depth-290_iter-10,depth-311_iter-1,depth-311_iter-2,depth-311_iter-3,depth-311_iter-4,depth-311_iter-5,depth-311_iter-6,depth-311_iter-7,depth-311_iter-8,depth-311_iter-9,depth-311_iter-10,depth-332_iter-1,depth-332_iter-2,depth-332_iter-3,depth-332_iter-4,depth-332_iter-5,depth-332_iter-6,depth-332_iter-7,depth-332_iter-8,depth-332_iter-9,depth-332_iter-10,depth-352_iter-1,depth-352_iter-2,depth-352_iter-3,depth-352_iter-4,depth-352_iter-5,depth-352_iter-6,depth-352_iter-7,depth-352_iter-8,depth-352_iter-9,depth-352_iter-10,depth-373_iter-1,depth-373_iter-2,depth-373_iter-3,depth-373_iter-4,depth-373_iter-5,depth-373_iter-6,depth-373_iter-7,depth-373_iter-8,depth-373_iter-9,depth-373_iter-10,depth-394_iter-1,depth-394_iter-2,depth-394_iter-3,depth-394_iter-4,depth-394_iter-5,depth-394_iter-6,depth-394_iter-7,depth-394_iter-8,depth-394_iter-9,depth-394_iter-10,depth-414_iter-1,depth-414_iter-2,depth-414_iter-3,depth-414_iter-4,depth-414_iter-5,depth-414_iter-6,depth-414_iter-7,depth-414_iter-8,depth-414_iter-9,depth-414_iter-10,depth-435_iter-1,depth-435_iter-2,depth-435_iter-3,depth-435_iter-4,depth-435_iter-5,depth-435_iter-6,depth-435_iter-7,depth-435_iter-8,depth-435_iter-9,depth-435_iter-10,depth-456_iter-1,depth-456_iter-2,depth-456_iter-3,depth-456_iter-4,depth-456_iter-5,depth-456_iter-6,depth-456_iter-7,depth-456_iter-8,depth-456_iter-9,depth-456_iter-10,depth-477_iter-1,depth-477_iter-2,depth-477_iter-3,depth-477_iter-4,depth-477_iter-5,depth-477_iter-6,depth-477_iter-7,depth-477_iter-8,depth-477_iter-9,depth-477_iter-10,depth-497_iter-1,depth-497_iter-2,depth-497_iter-3,depth-497_iter-4,depth-497_iter-5,depth-497_iter-6,depth-497_iter-7,depth-497_iter-8,depth-497_iter-9,depth-497_iter-10,depth-518_iter-1,depth-518_iter-2,depth-518_iter-3,depth-518_iter-4,depth-518_iter-5,depth-518_iter-6,depth-518_iter-7,depth-518_iter-8,depth-518_iter-9,depth-518_iter-10,depth-539_iter-1,depth-539_iter-2,depth-539_iter-3,depth-539_iter-4,depth-539_iter-5,depth-539_iter-6,depth-539_iter-7,depth-539_iter-8,depth-539_iter-9,depth-539_iter-10,depth-559_iter-1,depth-559_iter-2,depth-559_iter-3,depth-559_iter-4,depth-559_iter-5,depth-559_iter-6,depth-559_iter-7,depth-559_iter-8,depth-559_iter-9,depth-559_iter-10,depth-580_iter-1,depth-580_iter-2,depth-580_iter-3,depth-580_iter-4,depth-580_iter-5,depth-580_iter-6,depth-580_iter-7,depth-580_iter-8,depth-580_iter-9,depth-580_iter-10,depth-601_iter-1,depth-601_iter-2,depth-601_iter-3,depth-601_iter-4,depth-601_iter-5,depth-601_iter-6,depth-601_iter-7,depth-601_iter-8,depth-601_iter-9,depth-601_iter-10,depth-621_iter-1,depth-621_iter-2,depth-621_iter-3,depth-621_iter-4,depth-621_iter-5,depth-621_iter-6,depth-621_iter-7,depth-621_iter-8,depth-621_iter-9,depth-621_iter-10,depth-642_iter-1,depth-642_iter-2,depth-642_iter-3,depth-642_iter-4,depth-642_iter-5,depth-642_iter-6,depth-642_iter-7,depth-642_iter-8,depth-642_iter-9,depth-642_iter-10,depth-663_iter-1,depth-663_iter-2,depth-663_iter-3,depth-663_iter-4,depth-663_iter-5,depth-663_iter-6,depth-663_iter-7,depth-663_iter-8,depth-663_iter-9,depth-663_iter-10,depth-684_iter-1,depth-684_iter-2,depth-684_iter-3,depth-684_iter-4,depth-684_iter-5,depth-684_iter-6,depth-684_iter-7,depth-684_iter-8,depth-684_iter-9,depth-684_iter-10,depth-704_iter-1,depth-704_iter-2,depth-704_iter-3,depth-704_iter-4,depth-704_iter-5,depth-704_iter-6,depth-704_iter-7,depth-704_iter-8,depth-704_iter-9,depth-704_iter-10,depth-725_iter-1,depth-725_iter-2,depth-725_iter-3,depth-725_iter-4,depth-725_iter-5,depth-725_iter-6,depth-725_iter-7,depth-725_iter-8,depth-725_iter-9,depth-725_iter-10,depth-746_iter-1,depth-746_iter-2,depth-746_iter-3,depth-746_iter-4,depth-746_iter-5,depth-746_iter-6,depth-746_iter-7,depth-746_iter-8,depth-746_iter-9,depth-746_iter-10,depth-766_iter-1,depth-766_iter-2,depth-766_iter-3,depth-766_iter-4,depth-766_iter-5,depth-766_iter-6,depth-766_iter-7,depth-766_iter-8,depth-766_iter-9,depth-766_iter-10,depth-787_iter-1,depth-787_iter-2,depth-787_iter-3,depth-787_iter-4,depth-787_iter-5,depth-787_iter-6,depth-787_iter-7,depth-787_iter-8,depth-787_iter-9,depth-787_iter-10,depth-808_iter-1,depth-808_iter-2,depth-808_iter-3,depth-808_iter-4,depth-808_iter-5,depth-808_iter-6,depth-808_iter-7,depth-808_iter-8,depth-808_iter-9,depth-808_iter-10,depth-828_iter-1,depth-828_iter-2,depth-828_iter-3,depth-828_iter-4,depth-828_iter-5,depth-828_iter-6,depth-828_iter-7,depth-828_iter-8,depth-828_iter-9,depth-828_iter-10,depth-849_iter-1,depth-849_iter-2,depth-849_iter-3,depth-849_iter-4,depth-849_iter-5,depth-849_iter-6,depth-849_iter-7,depth-849_iter-8,depth-849_iter-9,depth-849_iter-10,depth-870_iter-1,depth-870_iter-2,depth-870_iter-3,depth-870_iter-4,depth-870_iter-5,depth-870_iter-6,depth-870_iter-7,depth-870_iter-8,depth-870_iter-9,depth-870_iter-10,depth-891_iter-1,depth-891_iter-2,depth-891_iter-3,depth-891_iter-4,depth-891_iter-5,depth-891_iter-6,depth-891_iter-7,depth-891_iter-8,depth-891_iter-9,depth-891_iter-10,treatment1,bad3,bad4,mix8,bad9,badpairwise10,materialSampleID,target_gene
sampleID_1,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.1105961389266827,2.7385528535787333,2.83854644739349,2.9104404952185816,2.7898657820928925,2.969731566544131,2.5887791855917497,2.6586806629422504,2.737322779818595,2.5468465893424046,3.1714331999253424,2.786654903962941,2.6846323177099145,2.705466581719677,2.6543756756235832,3.226800532289451,3.096161187118112,2.757907829586041,2.849603434219922,2.732801069764777,2.9111486693458475,3.194132848054636,3.0712893454106496,2.8840957913712923,2.984696203446484,3.1024582969241568,2.835586725617697,2.9208542012418333,2.750652934607051,2.7568323046889605,3.096995284903968,3.0905869946340108,2.925057453392221,3.111689585039874,2.9398470903108023,2.8828450681457314,2.942313843240874,3.181431024991051,3.208295225022993,2.6511048580612697,3.1392738925578043,3.082092253496514,3.0945104463379955,3.1352982544491748,3.017819266677876,3.0875464957276155,3.0467838288241,3.057532297594672,3.1095970880173667,3.1218377491124034,3.180158150124996,2.952252694188693,3.0670258725547543,2.948175199972196,3.1276722687225447,3.127148629547956,3.1102317789265586,3.0985586077957183,3.2081563011145766,3.046860051992773,3.0919761904421823,3.1795641315957086,3.2130097832649107,3.065983717343385,3.0959091184515564,3.183582665767516,3.0263918597599755,3.0585504603462668,2.7961896762412604,3.1864590689196786,2.957608717241532,3.208682653774887,3.1975374570401365,3.075599759652173,3.1899967611243314,3.223175928964667,3.2502486548258003,2.936702696360048,3.039848554423993,3.1874836541053733,2.965440958231833,3.0349177808877346,2.902156730867606,3.1835404260910685,3.1353127111569847,3.03376206469178,3.1929500068236267,3.1068073729763728,3.2083006282251367,3.1797400894545,3.089236848172818,3.2349848710340074,3.175558258660016,3.0445023918928977,3.138109630935093,2.973101000757549,3.0482950642857314,3.002508406633289,2.9939730574493,2.9836160336742377,3.1000784762974227,3.133704431400932,3.114096825254004,3.157650338845213,3.0505854870035387,3.066855981082674,3.121595629947466,3.0842867839766948,3.20425495493007,3.17571180936448,3.09238996497401,3.171058160603548,3.157256689941737,3.204547891120058,3.2602404977865205,3.1173583279738937,3.1584291935479154,3.02819620257624,3.119394313905526,3.1588590162844774,3.198795642057395,3.074049266507959,3.075159949826637,3.128501515079735,3.1089675923152456,3.0108274332737794,3.19145330475094,3.100143180513616,3.06832250411329,3.17487593725072,3.128130192655632,3.0567822977542107,3.1162628311037466,3.0787052898668774,3.1545967583051606,3.172129475940957,3.19263740361916,3.135213178449788,3.0232559876042133,3.0759350642720378,3.074601201984049,3.207172768087869,3.181178632261344,3.0971925019332667,3.077104502838301,3.0560809992626803,3.110820302019337,3.122662556858801,3.065442420603504,3.186036620185781,3.1410586939316683,3.113374734377239,3.119268021605913,3.191214211567399,3.1575181765679203,3.222752192097341,3.1073658756117446,3.144492192614077,3.1925870368465388,3.127690818157706,3.11488021433534,3.1857450232465903,3.1873628799254847,3.1861854230587965,3.2014729113481573,3.1059503007934106,3.219217811805245,3.196864119136801,3.0728827323857817,3.1724132919441765,3.061330670924323,3.1330709548047397,3.0951932217337017,3.2324992078608954,3.1383919919410537,3.152771658643959,3.1681715470407976,3.0990282325547414,3.151537897830472,3.1655225071368305,3.168603134838165,3.158605875107721,3.1465849256938463,3.152259755525647,3.1184576976964875,3.1761185464332904,3.11440351041198,3.164962931361569,3.2205277586363548,3.2080178075185906,3.1962640805982936,3.128491484352109,3.1868304659187494,3.06567309805379,3.175294428590582,3.096713426261036,3.132820931225311,3.157633330666722,3.1140287448191737,3.143771926101052,3.136548631392079,3.114731243441505,3.113351951559101,3.207272731756829,3.18350594628462,3.179999047309974,3.1377694133793304,3.129464243560796,3.105982547412085,3.1678806414094627,3.111770441586005,3.0907692005045693,3.0753223666948286,3.110946104727649,3.1527325697050315,3.192492493157832,3.153647395287777,3.1196657676022985,3.20854371755607,3.1514040678697413,3.1710238128954864,3.1520347350471245,3.222383245563836,3.1344605459474346,3.152720199902072,3.214145372180596,3.147047242621896,3.223941501877762,3.165814509472733,3.1809478857612623,3.15377162158919,3.1752089451722187,3.106927710724675,3.1737566020664345,3.155509911939724,3.14449640737697,3.1347063266525086,3.1372348569101347,3.1414751692462564,3.169578658634043,3.1834073303153443,3.1588933895730387,3.212331891211368,3.1294033183797274,3.193450706848677,3.172015925828409,3.2048122254623608,3.160245623990038,3.1330505797138706,3.1990717893890657,3.207923811282581,3.177436121803093,3.177529145146205,3.2135604204342108,3.111802907672553,3.143487601149265,3.1323944649358397,3.1373660583283365,3.174296144613709,3.1986270366933374,3.116004911470182,3.1772194286920654,3.111790644707319,3.163189016954735,3.1636518966002614,3.176254708329232,3.137148867506786,3.1919129242388755,3.18732492406879,3.1745585678441324,3.157034024087612,3.174435676282564,3.1897446756576326,3.173821599431162,3.166868602439336,3.148411517881418,3.1674482005445856,3.1748811099943244,3.2062659036056047,3.16208613257035,3.1814353792492605,3.148815710741834,3.158318266735568,3.1403995929013595,3.162290704490797,3.150553575357636,3.1452746095492734,3.169302615111978,3.179658954735025,3.139390945444668,3.137573345474289,3.1521466529677364,3.1571892486006496,3.1846255018046725,3.162729334437885,3.172835451563968,3.155458226465752,3.140988970573176,3.1602554793618376,3.1656622844515305,3.162589954174807,3.1718628203612163,3.1673531671732618,3.167873950141721,3.1770027102505027,3.1380079088745707,3.1690662978598274,3.170592378072222,3.1274951749166413,3.1721656179719924,3.178984279936405,3.152565015196906,3.169546783928852,3.154536792202946,3.1506969192941123,3.1586655833252824,3.173297020436919,3.1587586000273307,3.1865995837319017,3.140785986440397,3.1594429687498327,3.1788587597179143,3.1641420742793853,3.16214360488423,3.1571803086755987,3.166907540036838,3.1643509446643465,3.18618739254574,3.1592443503055065,3.190347791334263,3.1691780174097,3.1747941373534627,3.153792620482549,3.171569737645661,3.174430803755383,3.173517965592287,3.1690131027770008,3.1714522810890347,3.171221804372565,3.169239186092434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,a,a,2,a,,ERS3508481,SSU rRNA
sampleID_1a,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.7013757559060494,3.6537567082870006,3.3680424225727164,3.463280517810811,3.594465636961451,3.744239304948436,3.45852501923415,3.391386469985718,2.9803419725690823,3.1913992823562065,4.177566232096524,3.68694473455399,3.929795471225889,3.9487652684194576,3.8715006851376352,3.927417721937558,3.2384072235516976,3.9987620653268343,3.843301945970149,3.6996130434977874,4.061057093255334,3.8909652284163534,4.015129267306882,4.121729068653798,3.733867323963195,3.864683353185617,4.202871892084644,4.0786213307989465,4.173238790841681,3.766208796777868,3.701972384692555,4.496875919909912,4.182037993587056,4.145846667985006,4.217824601130031,4.083544516458625,4.2208950034014885,4.289835594066124,3.957239517427953,3.874824024801815,4.092065365531062,4.19673369328671,4.228896942978502,4.12683458540274,4.296515643728426,4.150355077993593,4.2641751517503605,3.997128317385735,4.336062779783567,4.13085591496141,4.192380210181094,4.353011110908215,4.169611051830713,4.1933953109405175,4.134299414723826,4.36779614278537,4.095925562866787,4.174963430056674,4.243253770829608,4.249952200544834,4.058116067662391,4.155407478829718,4.287956860971892,4.202589664507792,4.369160295583394,4.3120048322580935,4.211999067688011,4.274549844522602,4.235654405873354,4.347705687496133,4.288330802302234,4.3453404398427065,4.183137352526683,4.318256742226902,4.318203211603142,4.283605833289934,4.201311514891871,4.289095703957346,4.314145086695665,4.405790670833968,4.311637220059664,4.502358777096204,4.405747410582952,4.359605801689892,4.203993265794344,4.288663493810937,4.1541857953831896,4.307592750711664,4.263633941122306,4.471368229204736,4.223090720226441,4.369177256300493,4.420846950833981,4.362619748430184,4.303684097792717,4.33937421101338,4.139306599723682,4.334874332058902,4.276027743441973,4.260879874876754,4.224811442454994,4.4116707828186925,4.298805122431602,4.28581169414611,4.275376691197488,4.396801325613391,4.164572629895267,4.251444650224631,4.330039733590577,4.383713414506488,4.340595610101039,4.35759878111327,4.331933494478196,4.252818022180373,4.372406871080932,4.2781801490674605,4.352755545907173,4.418940312369041,4.374289327787891,4.357820589913599,4.382589278885583,4.361347637897299,4.36432846471618,4.322475812187543,4.309981887692372,4.337851080659358,4.311041199601541,4.21968916687642,4.293933269617165,4.296995185308109,4.324884440763158,4.363123339260604,4.328322460484414,4.35553030030682,4.4513220998779,4.317204063833488,4.39459446319083,4.369138096381282,4.365709364473535,4.345151677077935,4.335312996010228,4.246644481200396,4.334682887452714,4.418061969112017,4.389610775937623,4.198031146729237,4.464578917978405,4.3228026033127165,4.257468488645867,4.373244811446647,4.374687742675414,4.381094041721751,4.297472115207713,4.364496944546936,4.351254761668454,4.314716699508705,4.311724547633795,4.43864267490537,4.415802998422689,4.319138598118911,4.372403532596865,4.347724476163524,4.421517867778633,4.260275412960022,4.3098631242141625,4.310889053968265,4.3635534595240655,4.334354339372371,4.3425302109544015,4.3101816134961535,4.35051204603076,4.36671103367435,4.337491088108742,4.2943615853334665,4.371713942385653,4.375086007616683,4.340925737507672,4.369600764500236,4.341513571540866,4.323121506036524,4.289996117977309,4.330016631452875,4.2723974975254695,4.362763484577171,4.354633118816206,4.31695781772706,4.392924576691472,4.392940501321789,4.339458201934326,4.294993624492041,4.376935820924852,4.38189918029294,4.324178442695489,4.345196436684296,4.330278811647403,4.336307049603941,4.390118811385735,4.369235211849446,4.336944575181193,4.372624767858975,4.384233860509966,4.3554691909532615,4.353878704782914,4.392298923807371,4.334372064837549,4.381815819479261,4.378039291406872,4.363251485117005,4.397527950278995,4.36470566347358,4.422733449481308,4.365461936137637,4.362739440831539,4.360746457296576,4.355322858834248,4.381866025573533,4.39508388632906,4.396506582738366,4.365675418380157,4.4300282930620885,4.355648327811933,4.343645870592402,4.353701405375132,4.3945503383535245,4.338594950057103,4.351594863113875,4.381735077643281,4.365814895988264,4.385292297868944,4.37226392146221,4.356978361384001,4.369809689674673,4.383752316902361,4.365742568807528,4.349433172113161,4.33071305449709,4.383871075069154,4.371757739692868,4.357661204478947,4.400552628851814,4.371511102966236,4.367350969849549,4.357855160327762,4.377344363052232,4.373707715784047,4.358348083005252,4.37813656866248,4.367490486882965,4.375690895893653,4.368056367438415,4.373352043953846,4.371688292504099,4.376414431267804,4.384021874515966,4.372982120961451,4.366046160114919,4.365104978970058,4.375373243685275,4.373719559882901,4.369189079491804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,a,,a,c,2,ERS3508483,SSU rRNA
sampleID_2,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.885103877330988,2.753918758180346,2.849156853418441,2.1992818130163663,2.9803419725690827,2.1633347891038204,2.546846589342405,2.254514899465375,2.599389591616702,3.1416192081839798,2.814271447187445,2.726880829872232,2.7893814101013312,2.828321220182277,2.7237888505260104,2.287401875971342,2.411521008495172,2.588709546403851,3.096992946733331,2.9134332813869817,2.7060119667859968,3.0499392029139627,2.968068047313692,2.7223234421335096,2.687663766586213,2.9515311483364424,2.6179568340254886,2.8857332694138016,2.8857897284939624,2.8886380590349634,3.194849492209701,2.8051924450744403,2.8739050661868384,2.991528691191819,2.9217565747896224,2.926737865294049,3.0846072258370025,2.8649556246936485,3.5697970851257863,2.933008757891755,2.976433404210887,3.0675661475636065,2.9981226607232925,3.0303181368589143,2.892323472623182,3.329607588476305,2.9418591020322866,3.133307334764249,3.0352256661575487,2.9360847805148733,2.9300844322764643,2.962066107132673,2.9140365058460627,2.828791849911012,3.0843605221420622,3.068061224717125,3.146698674278104,3.056014263386404,2.7648335646978888,2.741617753659706,2.806152075945166,2.903555335620511,3.012128323865649,2.5533256785463205,2.9659648752266907,3.00979837875582,3.1418043533579145,3.2222300732244182,3.06257560010817,2.936551482381783,3.0319277866497902,2.990057031939132,3.030912455608724,3.007238080617729,2.9349828547828123,2.883473395529179,3.093493752080229,3.180104019843126,3.02287417388839,3.0775070413087056,3.1933092833171504,2.985543093388685,2.9940715748171187,3.040704952040847,2.8959367087493866,2.9717509496900294,2.907119886062925,3.233067244223578,2.856740504347422,2.9579274769540467,2.993238894755802,2.990089350998862,3.090214718273446,3.111316364604172,3.0205834899082364,3.037177968532689,3.099025028720539,2.831541822914535,3.0246419241783187,3.0292973974745503,2.938438531220215,2.945008120439378,3.118921224936076,2.9825808562262317,3.097020901880894,3.1783611130916265,3.0576158907184685,2.9329590104955146,2.929856065111402,3.0579005888647792,3.057284069707524,3.1218892181092643,3.023885976908948,3.0945595145041422,3.0801255306387234,2.957520104437358,2.9771246464151657,3.034279113387652,3.1086814414972594,2.9233386423130745,3.090216629780522,3.038875005952271,3.2138265682536806,3.104643512552876,3.172298343116841,3.035787585127664,3.037579770121639,2.9913211366617243,3.0428966361444294,2.9833736062786915,3.1710596972766085,3.0805929981377878,2.8905922336780017,2.9982382673117223,3.1159210704635187,3.0960215919008025,3.037611634772248,3.063172625999388,3.043406039205596,3.09085168009234,2.97030011296257,3.0481978050277334,3.046693068269673,3.04931106271148,3.0814107127639554,3.1051065917375524,3.0073004176759337,3.06986350894863,2.9586289248301205,3.1025023514245045,2.989186020202081,3.0295907531196926,3.0381254589302347,3.095571373172316,2.9926891894090084,3.129034556434273,3.1533648776684924,3.0214312724564856,2.9415491872506623,3.144795415010805,3.107782134508939,3.159339145062937,3.153394965079214,3.095675825909914,3.127410673365936,3.068338189672769,3.1335714279214155,3.0523182009447773,3.046260609549956,2.978466737412369,3.060950682078518,3.02651236970374,2.97742249104186,3.0470468120819256,2.9696653300360376,3.0849745923996967,3.141160114529798,3.152717446426296,3.0574737664428704,3.0945552846077504,3.039578966949568,3.0598839719696054,3.086174549608117,3.035517251582,3.006084183544255,3.047186952175029,3.0090262954484768,3.06874301341061,2.9748301627760605,3.0090550054323,3.0444132385794958,3.109695952970428,3.1231828159899377,2.997553940075796,3.092217136536239,3.088444976275091,3.090147019245423,3.0933460042002463,3.0876642416308173,3.090344655170684,3.10210284521145,3.035205026051311,3.098140779477069,3.0584435836332835,3.119760817045072,3.115934367785678,2.9623569626351256,3.0456375985412896,3.038859781650898,3.01076499699548,3.0992959061115184,3.0515197885790024,3.1542824459483056,3.0974034153778494,3.033244797439796,3.12481779131504,3.018987599283109,3.111358669480563,3.0623119816281195,3.129315366475309,3.063641406449705,3.1212934825975807,3.009244030891766,3.0450895032596224,3.0624166067402934,3.2013322690299404,3.0438751878319668,3.050948600635515,3.051135705158196,3.0373149017181573,3.0156515186116657,3.0663702646578828,3.1075009954105526,3.055833508438357,3.072652648842001,2.991242339425972,3.119138277703712,3.016236281849116,3.134497836903998,3.1605251499813805,3.062496956291864,3.054459371675705,3.051674257577048,3.0445038044521477,3.041857295863395,3.04693949176213,3.0771628221526868,3.050416444966749,3.0602326920402114,3.0490062382456338,3.0741119487431976,3.0409996569956794,3.052303641257065,3.151463682902348,3.095633166014518,3.0334666901088525,2.989641291923551,3.047165926018508,3.1165020281297773,3.104698592147884,3.0915916288481107,2.9386813697344394,3.12033920155896,3.0708409104452774,3.061477610779466,3.058779594570407,3.0990031052149667,3.0867872056275143,3.049586040467545,3.138116706558537,3.0445061716399877,3.0400948513147137,3.050839415920464,3.062466108379321,3.082239111650756,3.070692386855941,3.070470951326971,3.0925484435056405,3.0523988469095253,3.0627501734425784,3.014846994571349,3.0387331596944245,3.029998182630956,3.0902791418872897,3.076211473652499,3.0852117850301006,3.064553157710795,3.1298337794591267,3.080232750365872,3.065649980061921,3.067592931902083,3.065133114995496,3.072065875763897,3.065866939396924,3.049618402358579,3.0797718487815566,3.1268153579010978,3.095091215944757,3.106104445305865,3.081225646259001,3.095135870323849,3.080734054375575,3.067505001649233,3.057210747483837,3.0875185833473315,3.097268034791634,3.0117556539325827,3.114776978793059,3.106950849336347,3.0980496334623604,3.0191187146591885,3.0986915591662645,3.069590172976075,3.063230510374916,3.04728143852661,3.064103168483764,3.00056164014382,3.0717382760879817,3.125043490565837,3.079891076955756,3.0702783042621715,3.007932116110919,3.143207641596973,3.090437159574672,3.0998596563595195,3.0087482943007005,3.06425798735376,3.0207520989007888,3.0495792759898266,3.0968223530259578,3.029889163289728,3.111483419632826,3.056697318467952,3.0866006517113287,3.10104365973326,3.121664807150133,3.0957373670996047,3.0967526902423543,3.113872685717444,3.0668611727741677,3.072807577711324,3.070405334047803,3.0783531022312483,3.0545881913850943,3.0348519017363014,3.093154312156185,3.0986683433429905,3.079342779861032,3.0831034669285264,3.079770850529284,3.0446976348917647,3.070309533656337,3.0696436551679094,3.07665271230372,3.102798369792659,3.050686533286975,3.082096768909049,3.067195481710667,3.0547427998626056,3.0759251151927525,3.072332197723937,3.063042998418548,3.058732967745806,3.05927569257478,3.118461195297017,3.073062330155024,3.090048385231348,3.0774284185865395,3.0599819525199656,3.0824397539719506,3.0956412373911477,3.080683858654825,3.0475560427949286,3.0804803657926705,3.039241961387281,3.0903434015362627,3.0715037144223944,3.1125293071614863,3.088248717359216,3.074417483790739,3.1203717261662702,3.069532619826509,3.0739144353755377,3.11253318706661,3.063242365966653,3.071637368695575,3.1004558817077403,3.0660782563088347,3.0691201344792907,3.064801423989862,3.063632089885252,3.052572446498632,3.0740062030323454,3.069241386165759,3.078446245105394,3.0729701065760344,3.070096152589249,3.0681542152747827,3.0848996068502954,3.062931098337246,3.087827429953295,3.083670615464628,3.0592293316761987,3.074615723402727,3.076486622958757,3.0687093293050256,3.086354050240825,3.066003982526916,3.062260161183582,3.07198259422558,3.0694834875110395,3.090653178543511,3.0863777242898984,3.072425099990464,3.079472594919649,3.071970951958044,3.086277522907749,3.0705260947819677,3.0821430840040285,3.079480050375381,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,3.079135804878604,b,a,,2,b,2,ERS3508482,SSU rRNA
