Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	2	2	2	2	2	a	a	a	a	a
Bacteria;Proteobacteria	84.0	247.25	410.5	573.75	737.0	158.0	158.0	158.0	158.0	158.0
Bacteria;	1.0	24.25	47.5	70.75	94.0	84.0	84.0	84.0	84.0	84.0
Bacteria;Nitrospirota	39.0	60.25	81.5	102.75	124.0	144.0	144.0	144.0	144.0	144.0
Bacteria;Firmicutes	1.0	6.25	11.5	16.75	22.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Patescibacteria	1.0	32.0	63.0	94.0	125.0	139.0	139.0	139.0	139.0	139.0
Bacteria;Omnitrophota	52.0	59.0	66.0	73.0	80.0	46.0	46.0	46.0	46.0	46.0
Bacteria;Methylomirabilota	1.0	6.75	12.5	18.25	24.0	19.0	19.0	19.0	19.0	19.0
Bacteria;Gemmatimonadota	1.0	2.0	3.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Margulisbacteria	1.0	6.0	11.0	16.0	21.0	27.0	27.0	27.0	27.0	27.0
Bacteria;Acidobacteriota	1.0	2.0	3.0	4.0	5.0	18.0	18.0	18.0	18.0	18.0
Bacteria;Desulfobacterota	1.0	3.0	5.0	7.0	9.0	8.0	8.0	8.0	8.0	8.0
Bacteria;Bacteroidota	1.0	4.25	7.5	10.75	14.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Desulfobacterota_E	1.0	4.5	8.0	11.5	15.0	9.0	9.0	9.0	9.0	9.0
