Percentile	0.0	25.0	50.0	75.0	100.0	0.0	25.0	50.0	75.0	100.0
Group	2	2	2	2	2	a	a	a	a	a
Bacteria;Proteobacteria;Gammaproteobacteria;	1.0	3.75	6.5	9.25	12.0	18.0	18.0	18.0	18.0	18.0
Bacteria;;;	1.0	24.25	47.5	70.75	94.0	84.0	84.0	84.0	84.0	84.0
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales	6.0	12.0	18.0	24.0	30.0	6.0	6.0	6.0	6.0	6.0
Bacteria;Firmicutes;Bacilli;	1.0	6.25	11.5	16.75	22.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Patescibacteria;ABY1;BM507	1.0	4.25	7.5	10.75	14.0	14.0	14.0	14.0	14.0	14.0
Bacteria;Patescibacteria;Paceibacteria;UBA9983	1.0	8.5	16.0	23.5	31.0	38.0	38.0	38.0	38.0	38.0
Bacteria;Patescibacteria;;	1.0	4.75	8.5	12.25	16.0	10.0	10.0	10.0	10.0	10.0
Bacteria;Patescibacteria;Paceibacteria;UBA10092	1.0	2.75	4.5	6.25	8.0	10.0	10.0	10.0	10.0	10.0
Bacteria;Omnitrophota;Koll11;2-01-FULL-45-10	1.0	2.5	4.0	5.5	7.0	5.0	5.0	5.0	5.0	5.0
Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales	1.0	6.75	12.5	18.25	24.0	19.0	19.0	19.0	19.0	19.0
Bacteria;Omnitrophota;Koll11;2-02-FULL-51-18	1.0	4.5	8.0	11.5	15.0	10.0	10.0	10.0	10.0	10.0
Bacteria;Patescibacteria;ABY1;SG8-24	1.0	2.75	4.5	6.25	8.0	7.0	7.0	7.0	7.0	7.0
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	18.0	145.5	273.0	400.5	528.0	25.0	25.0	25.0	25.0	25.0
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales	1.0	2.0	3.0	4.0	5.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Omnitrophota;Omnitrophia;Omnitrophales	1.0	7.75	14.5	21.25	28.0	26.0	26.0	26.0	26.0	26.0
Bacteria;Margulisbacteria;WOR-1;O2-12-FULL-45-9	1.0	6.0	11.0	16.0	21.0	27.0	27.0	27.0	27.0	27.0
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	29.0	71.5	114.0	156.5	199.0	87.0	87.0	87.0	87.0	87.0
Bacteria;Omnitrophota;Koll11;UBA6215	1.0	2.0	3.0	4.0	5.0	8.0	8.0	8.0	8.0	8.0
Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales	7.0	7.75	8.5	9.25	10.0	16.0	16.0	16.0	16.0	16.0
Bacteria;Acidobacteriota;Mor1;Gp22-AA2	1.0	2.0	3.0	4.0	5.0	18.0	18.0	18.0	18.0	18.0
Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902	1.0	29.0	57.0	85.0	113.0	124.0	124.0	124.0	124.0	124.0
Bacteria;Patescibacteria;ABY1;	1.0	4.5	8.0	11.5	15.0	20.0	20.0	20.0	20.0	20.0
Bacteria;Desulfobacterota;GWC2-55-46;GWC2-55-46	1.0	3.0	5.0	7.0	9.0	8.0	8.0	8.0	8.0	8.0
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales	12.0	16.0	20.0	24.0	28.0	31.0	31.0	31.0	31.0	31.0
Bacteria;Omnitrophota;Koll11;GIF10	1.0	20.75	40.5	60.25	80.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	1.0	4.25	7.5	10.75	14.0	1.0	1.0	1.0	1.0	1.0
Bacteria;Desulfobacterota_E;MBNT15;MBNT15	1.0	4.5	8.0	11.5	15.0	9.0	9.0	9.0	9.0	9.0
Bacteria;Patescibacteria;Gracilibacteria;Peribacterales	1.0	10.5	20.0	29.5	39.0	46.0	46.0	46.0	46.0	46.0
