id	clr	W
Bacteria;;;	-2.154471306814542	0
Bacteria;Acidobacteriota;Mor1;Gp22-AA2	-0.8902754259506724	0
Bacteria;Bacteroidota;Bacteroidia;Chitinophagales	3.575037808636117	1
Bacteria;Desulfobacterota;GWC2-55-46;GWC2-55-46	-0.778703650293568	5
Bacteria;Desulfobacterota_E;MBNT15;MBNT15	-1.0930079800047547	0
Bacteria;Firmicutes;Bacilli;	4.4728977438581925	19
Bacteria;Gemmatimonadota;Gemmatimonadetes;Gemmatimonadales	3.137303439959167	11
Bacteria;Margulisbacteria;WOR-1;O2-12-FULL-45-9	-1.8105502426494162	5
Bacteria;Methylomirabilota;Methylomirabilia;Rokubacteriales	-1.701616995542733	4
Bacteria;Nitrospirota;Nitrospiria;Nitrospirales	2.877906543251583	16
Bacteria;Nitrospirota;Thermodesulfovibrionia;Thermodesulfovibrionales	0.15167252006393572	0
Bacteria;Nitrospirota;Thermodesulfovibrionia;UBA6902	-3.4142052829442284	17
Bacteria;Omnitrophota;Koll11;2-01-FULL-45-10	-0.4180446215302469	2
Bacteria;Omnitrophota;Koll11;2-02-FULL-51-18	-1.1456882378336681	1
Bacteria;Omnitrophota;Koll11;GIF10	5.356101682873513	1
Bacteria;Omnitrophota;Koll11;UBA6215	-0.4848103178425083	1
Bacteria;Omnitrophota;Omnitrophia;Omnitrophales	-1.935521114883883	5
Bacteria;Patescibacteria;;	-1.1779574984024537	1
Bacteria;Patescibacteria;ABY1;	-1.4922618281136406	3
Bacteria;Patescibacteria;ABY1;BM507	-1.2794279204007986	4
Bacteria;Patescibacteria;ABY1;SG8-24	-0.6530464361531148	4
Bacteria;Patescibacteria;Gracilibacteria;Peribacterales	-2.3864721120949106	6
Bacteria;Patescibacteria;Paceibacteria;UBA10092	-0.831383908122481	9
Bacteria;Patescibacteria;Paceibacteria;UBA9983	-2.176157272891306	6
Bacteria;Proteobacteria;Gammaproteobacteria;	-1.3280097946276226	3
Bacteria;Proteobacteria;Gammaproteobacteria;Acidiferrobacterales	0.31759916544639477	4
Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales	4.329925517581573	11
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales	2.9331675254260876	0
