	W	Reject null hypothesis
Bacteria;Proteobacteria;Gammaproteobacteria	0	False
Bacteria;;	0	False
Bacteria;Desulfobacterota_E;MBNT15	0	False
Bacteria;Bacteroidota;Bacteroidia	0	False
Bacteria;Desulfobacterota;GWC2-55-46	0	False
Bacteria;Acidobacteriota;Mor1	0	False
Bacteria;Nitrospirota;Thermodesulfovibrionia	0	False
Bacteria;Margulisbacteria;WOR-1	0	False
Bacteria;Omnitrophota;Omnitrophia	0	False
Bacteria;Gemmatimonadota;Gemmatimonadetes	0	False
Bacteria;Methylomirabilota;Methylomirabilia	0	False
Bacteria;Omnitrophota;Koll11	0	False
Bacteria;Patescibacteria;	0	False
Bacteria;Patescibacteria;Paceibacteria	0	False
Bacteria;Patescibacteria;ABY1	0	False
Bacteria;Firmicutes;Bacilli	0	False
Bacteria;Nitrospirota;Nitrospiria	0	False
Bacteria;Patescibacteria;Gracilibacteria	0	False
