index,Bacteria;Proteobacteria,Bacteria;,Bacteria;Nitrospirota,Bacteria;Firmicutes,Bacteria;Patescibacteria,Bacteria;Omnitrophota,Bacteria;Methylomirabilota,Bacteria;Gemmatimonadota,Bacteria;Margulisbacteria,Bacteria;Acidobacteriota,Bacteria;Desulfobacterota,Bacteria;Bacteroidota,Bacteria;Desulfobacterota_E
b,1.6892978278797801,0.008287292817679558,0.0757978805860942,0.05395576390051528,0.0,0.13838817890383268,0.0,0.012776630640350714,0.0,0.0,0.0,0.021496425271747555,0.0
a,0.3974027985748954,0.3005542073286174,0.44926077003838144,0.0,0.443314228670763,0.16401610987762688,0.0703946575790434,0.0,0.0773308548906215,0.03384623328342025,0.02563639180048536,0.0,0.03824374795614533
